indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,IRL,2019,38.26224,,
FRESP.THC,IRL,2021,37.36351,,
FRESP.THC,IRN,2012,27.97374,,
FRESP.THC,IRN,2013,27.74312,,
FRESP.THC,IRN,2015,32.99772,,
FRESP.THC,IRN,2017,31.21361,,
FRESP.THC,IRN,2019,32.3396,,
FRESP.THC,IRN,2021,30.16692,,
FRESP.THC,IRQ,2014,37.50262,,
FRESP.THC,IRQ,2015,39.89932,,
FRESP.THC,IRQ,2016,39.66847,,
FRESP.THC,IRQ,2017,38.01344,,
FRESP.THC,IRQ,2018,38.14302,,
FRESP.THC,IRQ,2019,38.12429,,
FRESP.THC,IRQ,2020,39.22983,,
FRESP.THC,IRQ,2021,40.94083,,
FRESP.THC,ISL,2013,43.83194,,
FRESP.THC,ISL,2017,46.08307,,
FRESP.THC,ISL,2018,46.06682,,
FRESP.THC,ISL,2021,45.24771,,
FRESP.THC,ISL,2022,46.80269,,
FRESP.THC,ITA,2012,35.50139,,
FRESP.THC,ITA,2013,35.70047,,
FRESP.THC,ITA,2014,36.01509,,
FRESP.THC,ITA,2015,36.04032,,
FRESP.THC,ITA,2016,35.19385,,
FRESP.THC,ITA,2017,34.32757,,
FRESP.THC,ITA,2018,33.77832,,
FRESP.THC,ITA,2019,34.15389,,
FRESP.THC,ITA,2020,34.905,,
FRESP.THC,ITA,2021,36.09628,,
FRESP.THC,ITA,2022,36.42821,,
FRESP.THC,JAM,2016,42.42424,,
FRESP.THC,JAM,2017,49.12023,,
FRESP.THC,JOR,2015,19.68764,,
FRESP.THC,JOR,2016,20.7862,,
FRESP.THC,JOR,2017,21.35792,,
FRESP.THC,JOR,2018,19.51788,,
FRESP.THC,JPN,2012,14.41109,,
FRESP.THC,JPN,2013,14.63493,,
FRESP.THC,JPN,2014,14.69842,,
FRESP.THC,JPN,2015,15.25365,,
FRESP.THC,JPN,2016,15.7047,,
FRESP.THC,JPN,2017,16.17511,,
FRESP.THC,JPN,2018,16.56203,,
FRESP.THC,JPN,2019,16.86801,,
FRESP.THC,JPN,2020,17.47394,,
FRESP.THC,JPN,2021,17.83431,,
FRESP.THC,JPN,2022,18.25671,,
FRESP.THC,KAZ,2012,48.73277,,
FRESP.THC,KAZ,2013,51.46263,,
FRESP.THC,KAZ,2014,51.59007,,
FRESP.THC,KAZ,2015,51.97789,,
FRESP.THC,KAZ,2016,53.28052,,
FRESP.THC,KAZ,2017,52.25806,,
FRESP.THC,KAZ,2018,52.80738,,
FRESP.THC,KAZ,2019,52.43518,,
FRESP.THC,KAZ,2020,53.4233,,
FRESP.THC,KAZ,2021,54.50503,,
FRESP.THC,KAZ,2022,53.79705,,
FRESP.THC,KEN,2022,38.71584,,
FRESP.THC,KGZ,2014,47.99203,,
FRESP.THC,KGZ,2015,50.62482,,
FRESP.THC,KGZ,2016,49.42096,,
FRESP.THC,KGZ,2017,46.47973,,
FRESP.THC,KGZ,2018,55.73724,,
FRESP.THC,KGZ,2019,56.24454,,
FRESP.THC,KGZ,2020,57.55436,,
FRESP.THC,KGZ,2021,59.84456,,
FRESP.THC,KGZ,2022,59.76633,,
FRESP.THC,KHM,2015,23.67758,,
FRESP.THC,KOR,2012,17.67308,,
FRESP.THC,KOR,2013,18.1845,,
FRESP.THC,KOR,2014,18.49458,,
FRESP.THC,KOR,2015,18.8968,,
FRESP.THC,KOR,2016,19.66604,,
FRESP.THC,KOR,2017,20.1,,
FRESP.THC,KOR,2018,20.36836,,
FRESP.THC,KOR,2019,21.03316,,
FRESP.THC,KOR,2020,21.42318,,
FRESP.THC,KOR,2021,22.16849,,
FRESP.THC,KOR,2022,22.98904,,
FRESP.THC,KWT,2012,36.21868,,
FRESP.THC,KWT,2013,37.34161,,
FRESP.THC,KWT,2014,39.04576,,
FRESP.THC,KWT,2015,51.40911,,
FRESP.THC,KWT,2016,51.64674,,
FRESP.THC,KWT,2017,52.57891,,
FRESP.THC,KWT,2018,53.24553,,
FRESP.THC,KWT,2019,47.6129,,
FRESP.THC,KWT,2020,48.44804,,
FRESP.THC,KWT,2022,49.67658,,
FRESP.THC,LIE,2019,22.71689,,
FRESP.THC,LKA,2013,38.98335,,
